frame,Risk_1,Risk_2,Risk3,Risk4
48,"(718, 442, 290, 157)",,,
49,"(716, 439, 294, 157)",,,
50,"(715, 437, 297, 157)",,,
51,"(717, 436, 304, 158)",,,
52,"(717, 436, 311, 159)",,,
53,"(715, 433, 315, 160)",,,
54,"(711, 432, 320, 160)",,,
55,"(704, 431, 318, 162)",,,
56,"(702, 433, 313, 163)",,,
57,"(708, 439, 315, 163)",,,
58,"(702, 439, 315, 163)",,,
59,"(710, 438, 316, 162)",,,
60,"(715, 434, 324, 164)",,,
61,"(716, 427, 331, 166)",,,
62,"(717, 424, 337, 168)",,,
63,"(715, 421, 341, 170)",,,
64,"(718, 423, 349, 170)",,,
65,"(716, 420, 353, 172)",,,
66,"(710, 422, 356, 173)",,,
67,"(710, 424, 362, 175)",,,
68,"(709, 423, 366, 177)",,,
69,"(707, 419, 368, 181)",,,
70,"(707, 419, 370, 183)",,,
71,"(706, 413, 370, 187)",,,
72,"(705, 411, 369, 189)",,,
73,"(706, 405, 370, 195)",,,
74,"(704, 402, 372, 198)",,,
75,"(706, 383, 370, 199)",,,
76,"(706, 387, 371, 203)",,,
77,"(706, 390, 369, 207)",,,
78,"(707, 391, 369, 209)",,,
79,"(706, 391, 368, 209)",,,
80,"(704, 389, 367, 212)",,,
81,"(704, 389, 367, 212)",,,
82,"(697, 390, 369, 214)",,,
83,"(690, 390, 368, 215)",,,
84,"(689, 392, 371, 216)",,,
85,"(689, 393, 370, 214)",,,
86,"(690, 396, 372, 212)",,,
87,"(690, 396, 369, 208)",,,
88,"(687, 388, 364, 204)",,,
89,"(688, 385, 360, 204)",,,
90,"(677, 390, 356, 201)",,,
91,"(678, 393, 353, 198)",,,
92,"(676, 397, 352, 194)",,,
93,"(673, 407, 346, 189)",,,
94,"(671, 413, 340, 185)",,,
95,"(671, 411, 334, 184)",,,
96,"(671, 414, 331, 183)",,,
97,"(669, 417, 327, 181)",,,
98,"(670, 420, 324, 177)",,,
99,"(666, 422, 321, 175)",,,
