frame,Risk_1,Risk_2,Risk3,Risk4
20,"(343, 465, 154, 97)",,,
21,"(358, 464, 150, 95)",,,
22,"(364, 465, 146, 92)","(470, 463, 44, 30)",,
23,"(370, 465, 143, 91)","(471, 462, 43, 31)",,
24,"(380, 460, 141, 88)","(477, 460, 41, 31)",,
25,"(386, 459, 137, 86)","(481, 456, 39, 32)",,
26,"(391, 458, 134, 84)","(472, 457, 42, 29)",,
27,"(403, 457, 131, 81)","(470, 457, 47, 26)",,
28,"(405, 457, 130, 78)","(473, 457, 49, 25)",,
29,"(410, 458, 129, 77)","(471, 457, 51, 24)",,
30,"(417, 457, 127, 74)","(455, 457, 57, 22)",,
31,"(421, 459, 125, 72)","(458, 458, 60, 23)",,
32,"(427, 459, 122, 71)","(460, 458, 63, 24)",,
33,"(435, 458, 121, 69)","(466, 457, 65, 26)",,
34,"(441, 457, 118, 68)","(467, 457, 66, 27)",,
35,"(448, 457, 114, 67)","(468, 458, 68, 27)",,
36,"(461, 459, 111, 65)","(474, 456, 69, 28)",,
37,"(464, 458, 108, 64)","(477, 454, 71, 29)",,
38,"(467, 459, 106, 63)","(480, 454, 72, 29)",,
39,"(473, 455, 104, 61)","(479, 451, 74, 29)",,
40,"(474, 455, 103, 61)","(485, 449, 73, 30)",,
41,"(474, 455, 104, 59)","(488, 447, 74, 30)",,
42,"(476, 452, 104, 59)","(490, 441, 74, 31)",,
43,"(477, 451, 104, 58)","(490, 442, 74, 31)",,
44,"(478, 451, 103, 58)","(491, 442, 76, 30)",,
45,"(477, 453, 105, 57)","(494, 443, 77, 30)",,
46,"(475, 453, 106, 57)","(493, 444, 78, 30)",,
47,"(477, 453, 106, 57)","(494, 445, 80, 30)",,
48,"(480, 452, 107, 56)","(491, 444, 81, 31)",,
49,"(485, 447, 107, 56)","(489, 438, 82, 31)",,
50,"(487, 442, 106, 56)","(487, 436, 82, 31)",,
51,"(489, 434, 107, 56)","(487, 427, 84, 32)",,
52,"(492, 433, 108, 55)","(486, 427, 84, 33)",,
53,"(493, 433, 111, 55)","(491, 427, 85, 33)",,
54,"(504, 434, 115, 56)","(493, 429, 85, 34)",,
55,"(500, 439, 123, 56)","(495, 436, 86, 34)",,
56,"(497, 440, 130, 57)","(497, 436, 87, 34)",,
57,"(496, 440, 137, 58)","(492, 436, 89, 33)",,
58,"(495, 441, 140, 60)","(480, 442, 87, 34)",,
59,"(482, 440, 142, 63)","(476, 441, 87, 34)",,
60,"(478, 442, 141, 65)","(473, 444, 86, 33)",,
61,"(475, 444, 138, 66)","(466, 443, 82, 35)",,
62,"(468, 445, 135, 68)","(470, 443, 80, 35)",,
63,"(460, 443, 122, 75)","(470, 443, 79, 35)",,
64,"(463, 440, 115, 80)","(467, 443, 77, 36)",,
65,"(464, 439, 111, 84)","(468, 444, 77, 36)",,
66,"(462, 440, 108, 85)","(469, 443, 77, 36)",,
67,"(462, 439, 105, 87)","(469, 442, 78, 36)",,
68,"(460, 440, 104, 87)","(467, 441, 78, 36)",,
69,"(459, 440, 103, 87)","(468, 440, 79, 36)",,
70,"(459, 440, 101, 87)","(464, 442, 81, 36)",,
71,"(458, 442, 100, 87)","(464, 442, 83, 36)",,
72,"(458, 443, 100, 86)","(463, 442, 83, 36)",,
73,"(456, 444, 100, 86)","(461, 441, 84, 37)",,
74,"(455, 446, 100, 86)","(462, 442, 86, 37)",,
75,"(454, 446, 100, 86)","(457, 443, 87, 37)",,
76,"(453, 447, 100, 86)","(453, 443, 88, 38)",,
77,"(450, 448, 101, 87)","(451, 443, 88, 39)",,
78,"(447, 449, 102, 88)","(454, 442, 89, 39)",,
79,"(445, 449, 103, 89)","(450, 442, 90, 40)",,
80,"(444, 448, 103, 90)","(448, 443, 90, 40)",,
81,"(442, 448, 103, 90)","(446, 443, 90, 40)",,
82,"(440, 449, 104, 90)","(443, 443, 90, 40)",,
83,"(439, 449, 104, 90)","(446, 444, 90, 39)",,
84,"(440, 447, 104, 90)","(442, 445, 90, 39)",,
85,"(440, 446, 104, 90)","(444, 445, 91, 39)",,
86,"(440, 446, 103, 90)","(442, 445, 92, 39)",,
87,"(441, 445, 103, 90)","(441, 444, 92, 39)",,
88,"(440, 445, 102, 90)","(440, 444, 93, 39)",,
89,"(439, 446, 102, 89)","(438, 445, 94, 39)",,
90,"(438, 447, 103, 89)","(440, 444, 94, 39)",,
91,"(436, 447, 104, 89)","(439, 445, 94, 39)",,
92,"(436, 447, 104, 89)","(439, 445, 94, 39)",,
93,"(435, 449, 105, 89)","(439, 445, 95, 39)",,
94,"(436, 448, 105, 89)","(439, 444, 94, 40)",,
95,"(434, 448, 106, 89)","(436, 445, 94, 40)",,
96,"(434, 448, 106, 89)","(434, 444, 94, 41)",,
97,"(434, 447, 106, 90)","(438, 444, 94, 40)",,
98,"(434, 449, 106, 89)","(436, 445, 93, 41)",,
99,"(434, 447, 106, 89)","(435, 444, 93, 41)",,
