frame,Risk_1,Risk_2,Risk3,Risk4
27,"(560, 404, 57, 57)",,,
28,"(558, 403, 58, 56)",,,
29,"(559, 403, 59, 56)",,,
30,"(559, 402, 60, 56)",,,
31,"(559, 402, 60, 56)","(642, 405, 63, 55)",,
32,"(559, 400, 61, 56)","(643, 403, 63, 56)",,
33,"(559, 400, 62, 56)","(643, 403, 63, 57)",,
34,"(559, 399, 62, 56)","(644, 403, 63, 57)",,
35,"(561, 399, 61, 57)","(645, 403, 63, 58)",,
36,"(562, 400, 61, 58)","(645, 403, 63, 58)",,
37,"(563, 401, 59, 58)","(644, 404, 63, 58)",,
38,"(562, 401, 60, 58)","(645, 403, 63, 58)",,
39,"(562, 400, 61, 58)","(643, 403, 63, 59)",,
40,"(561, 400, 61, 58)","(643, 402, 63, 59)",,
41,"(560, 400, 62, 58)","(643, 402, 64, 59)",,
42,"(560, 399, 63, 58)","(643, 402, 64, 59)",,
43,"(559, 398, 63, 58)","(644, 400, 63, 60)",,
44,"(559, 398, 63, 59)","(643, 400, 64, 59)",,
45,"(559, 397, 63, 59)","(643, 400, 64, 59)",,
46,"(559, 397, 64, 59)","(644, 400, 64, 59)",,
47,"(559, 397, 64, 59)","(644, 399, 64, 60)",,
48,"(558, 397, 65, 59)","(645, 400, 64, 59)",,
49,"(558, 397, 65, 59)","(645, 400, 63, 60)",,
50,"(558, 398, 66, 59)","(643, 400, 64, 60)",,
51,"(559, 398, 66, 59)","(643, 399, 64, 60)",,
52,"(561, 399, 67, 59)","(644, 400, 63, 60)",,
53,"(562, 398, 67, 59)","(643, 400, 63, 60)",,
54,"(562, 398, 68, 59)","(643, 399, 63, 60)",,
55,"(564, 397, 69, 59)","(642, 398, 63, 60)",,
56,"(566, 396, 69, 60)","(643, 398, 63, 60)",,
57,"(568, 395, 70, 60)","(642, 399, 63, 59)",,
58,"(571, 395, 70, 60)","(643, 397, 63, 59)",,
59,"(574, 395, 71, 60)","(642, 397, 63, 59)",,
60,"(577, 397, 71, 59)","(641, 397, 63, 58)",,
61,"(579, 396, 71, 59)","(641, 398, 63, 58)",,
62,"(582, 396, 70, 59)","(642, 398, 63, 58)",,
63,"(585, 394, 69, 60)","(641, 397, 63, 58)",,
64,"(588, 393, 68, 60)","(641, 397, 63, 58)",,
65,"(593, 393, 66, 61)","(643, 396, 63, 58)",,
66,"(596, 393, 65, 61)","(643, 395, 63, 58)",,
67,"(598, 391, 65, 61)","(644, 393, 63, 58)",,
68,"(599, 390, 66, 60)","(645, 393, 63, 58)",,
69,"(603, 392, 67, 61)","(647, 392, 63, 59)",,
70,"(606, 391, 67, 61)","(648, 389, 64, 60)",,
71,"(607, 394, 68, 61)","(649, 390, 65, 60)",,
72,"(609, 394, 68, 61)","(654, 392, 65, 60)",,
73,"(611, 394, 69, 61)","(652, 392, 65, 60)",,
74,"(612, 393, 69, 61)","(650, 391, 67, 60)",,
75,"(611, 393, 70, 61)","(654, 392, 67, 60)",,
76,"(613, 393, 69, 61)","(649, 392, 68, 60)",,
77,"(613, 392, 69, 61)","(646, 391, 68, 59)",,
78,"(612, 391, 69, 61)","(631, 386, 69, 61)",,
79,"(612, 390, 69, 61)","(631, 383, 70, 62)",,
80,"(610, 389, 69, 61)","(621, 391, 75, 59)",,
81,"(609, 388, 69, 61)","(619, 386, 76, 61)",,
82,"(608, 388, 69, 61)","(595, 383, 77, 63)",,
83,"(608, 386, 69, 61)","(588, 381, 77, 65)",,
84,"(608, 385, 69, 60)","(590, 380, 78, 66)",,
85,"(608, 386, 68, 60)","(591, 380, 80, 67)",,
86,"(608, 387, 68, 60)","(593, 379, 81, 68)",,
87,"(607, 388, 67, 60)","(595, 380, 82, 69)",,
88,"(606, 388, 67, 60)","(595, 380, 83, 69)",,
89,"(603, 389, 68, 59)","(586, 380, 84, 69)",,
90,"(602, 389, 68, 59)","(588, 379, 85, 70)",,
91,"(603, 389, 67, 59)","(588, 379, 86, 71)",,
92,"(603, 390, 66, 59)","(590, 379, 86, 71)",,
93,"(604, 389, 65, 59)","(582, 380, 87, 71)",,
94,"(605, 390, 65, 58)","(583, 385, 87, 71)",,
95,"(606, 391, 64, 58)","(592, 382, 88, 72)",,
96,"(607, 390, 63, 58)","(591, 380, 89, 72)",,
97,"(606, 389, 62, 58)","(581, 380, 90, 72)",,
98,"(609, 389, 61, 58)","(582, 380, 91, 72)",,
99,"(610, 391, 61, 58)","(582, 379, 92, 73)",,
