frame,Risk_1,Risk_2,Risk3,Risk4
55,"(232, 282, 123, 51)",,,
56,"(244, 280, 129, 50)",,,
57,"(259, 278, 132, 50)",,,
58,"(266, 277, 131, 50)",,,
59,"(286, 277, 136, 48)",,,
60,"(298, 274, 136, 49)",,,
61,"(307, 274, 137, 48)",,,
62,"(326, 271, 138, 48)",,,
63,"(344, 269, 135, 48)",,,
64,"(353, 269, 136, 48)",,,
65,"(374, 268, 136, 47)",,,
66,"(385, 265, 136, 48)",,,
67,"(394, 265, 137, 48)",,,
68,"(413, 266, 136, 47)",,,
69,"(424, 264, 137, 47)",,,
70,"(438, 264, 138, 47)",,,
71,"(455, 266, 145, 44)",,,
72,"(463, 263, 144, 44)",,,
73,"(474, 263, 145, 44)",,,
74,"(512, 264, 145, 43)",,,
75,"(521, 261, 144, 43)","(437, 271, 44, 42)",,
76,"(528, 260, 145, 43)","(438, 271, 45, 41)",,
77,"(530, 263, 144, 42)","(437, 272, 46, 40)",,
78,"(530, 262, 141, 42)","(436, 271, 46, 40)",,
79,"(517, 265, 137, 41)","(436, 272, 46, 39)",,
80,"(502, 268, 130, 39)","(435, 272, 47, 39)",,
81,"(500, 267, 124, 38)","(436, 273, 47, 39)",,
82,"(501, 268, 119, 37)","(434, 274, 47, 38)",,
83,"(513, 268, 116, 37)","(434, 273, 47, 38)",,
84,"(515, 268, 112, 36)","(434, 273, 47, 38)",,
85,"(518, 267, 109, 36)","(434, 273, 47, 38)",,
86,"(521, 267, 108, 36)","(434, 274, 46, 38)",,
87,"(523, 267, 107, 36)","(434, 273, 46, 38)",,
88,"(525, 267, 106, 36)","(433, 273, 46, 38)",,
89,"(539, 268, 104, 35)","(433, 274, 46, 38)",,
90,"(546, 267, 99, 35)","(433, 273, 46, 38)",,
91,"(550, 267, 95, 35)","(433, 274, 46, 38)",,
92,"(556, 268, 91, 35)","(433, 274, 46, 38)",,
93,"(563, 266, 88, 35)","(433, 273, 46, 38)",,
94,"(572, 267, 84, 35)","(433, 273, 46, 38)",,
95,"(578, 266, 81, 35)","(433, 273, 46, 38)",,
96,"(584, 266, 79, 35)","(433, 274, 46, 37)",,
97,"(588, 265, 76, 35)","(433, 274, 46, 37)",,
98,"(590, 266, 75, 35)","(435, 274, 45, 37)",,
99,"(594, 265, 73, 35)","(435, 274, 45, 36)",,
