frame,Risk_1,Risk_2,Risk3,Risk4
13,"(644, 405, 147, 96)",,,
14,"(641, 408, 148, 96)",,,
15,"(636, 408, 150, 97)",,,
16,"(633, 409, 150, 98)",,,
17,"(629, 408, 151, 98)","(445, 449, 97, 82)",,
18,"(627, 409, 152, 98)","(446, 453, 98, 83)",,
19,"(621, 410, 153, 97)","(446, 452, 99, 84)",,
20,"(616, 409, 154, 96)","(446, 451, 100, 85)",,
21,"(616, 409, 153, 96)","(446, 450, 100, 86)",,
22,"(610, 410, 153, 94)","(448, 449, 101, 86)",,
23,"(607, 412, 153, 93)","(450, 449, 100, 85)",,
24,"(602, 413, 154, 92)","(451, 449, 100, 85)",,
25,"(596, 415, 154, 91)","(453, 448, 100, 84)",,
26,"(593, 415, 155, 90)","(454, 447, 100, 83)",,
27,"(588, 415, 155, 89)","(456, 447, 99, 82)",,
28,"(582, 415, 153, 88)","(457, 447, 98, 82)",,
29,"(577, 417, 151, 87)","(459, 447, 97, 81)",,
30,"(572, 417, 147, 86)","(458, 447, 97, 80)",,
31,"(567, 418, 144, 85)","(459, 448, 96, 80)",,
32,"(564, 420, 138, 83)","(461, 448, 95, 80)",,
33,"(556, 417, 127, 86)","(462, 449, 95, 79)",,
34,"(555, 420, 120, 86)","(463, 449, 94, 79)",,
35,"(555, 423, 115, 85)","(464, 448, 94, 79)",,
36,"(555, 425, 113, 82)","(465, 447, 93, 78)",,
37,"(542, 428, 117, 75)","(466, 447, 93, 76)",,
38,"(533, 433, 123, 69)","(467, 448, 93, 75)",,
39,"(528, 438, 129, 65)","(468, 447, 94, 74)",,
40,"(525, 436, 133, 63)","(472, 445, 95, 73)",,
41,"(521, 438, 135, 61)","(475, 442, 95, 73)",,
42,"(505, 438, 140, 61)","(478, 439, 96, 72)",,
43,"(499, 439, 141, 62)","(480, 438, 96, 71)",,
44,"(494, 439, 143, 62)","(485, 438, 97, 71)",,
45,"(489, 432, 142, 62)","(487, 431, 95, 70)",,
46,"(478, 428, 139, 62)","(490, 426, 95, 69)",,
47,"(477, 426, 137, 62)","(490, 425, 97, 68)",,
48,"(474, 427, 133, 62)","(491, 429, 99, 67)",,
49,"(470, 431, 128, 63)","(493, 436, 100, 67)",,
50,"(471, 434, 127, 63)","(495, 440, 98, 68)",,
51,"(470, 445, 123, 62)","(492, 445, 97, 68)",,
52,"(466, 448, 122, 62)","(490, 448, 96, 67)",,
53,"(466, 449, 121, 61)","(487, 449, 96, 67)",,
54,"(468, 449, 120, 60)","(488, 449, 95, 67)",,
55,"(468, 449, 117, 60)","(488, 449, 95, 66)",,
56,"(470, 449, 115, 60)","(486, 449, 96, 66)",,
57,"(471, 448, 113, 60)","(486, 448, 96, 66)",,
58,"(471, 450, 110, 61)","(483, 449, 96, 66)",,
59,"(470, 450, 108, 62)","(482, 451, 96, 66)",,
60,"(471, 452, 106, 62)","(482, 451, 97, 67)",,
61,"(472, 451, 102, 67)","(477, 454, 97, 68)",,
62,"(472, 451, 100, 70)","(474, 455, 96, 68)",,
63,"(468, 451, 99, 72)","(472, 455, 95, 68)",,
64,"(461, 451, 99, 74)","(465, 457, 96, 69)",,
65,"(460, 451, 100, 76)","(462, 459, 97, 69)",,
66,"(459, 450, 100, 78)","(458, 457, 98, 70)",,
67,"(447, 453, 101, 79)","(448, 459, 100, 71)",,
68,"(440, 454, 104, 79)","(442, 459, 102, 72)",,
69,"(435, 453, 107, 80)","(437, 459, 104, 72)",,
70,"(420, 453, 110, 81)","(425, 460, 107, 73)",,
71,"(413, 453, 113, 82)","(420, 459, 110, 75)",,
72,"(408, 450, 116, 84)","(414, 460, 112, 75)",,
73,"(400, 452, 118, 85)","(401, 460, 117, 77)",,
74,"(391, 454, 120, 87)","(394, 460, 120, 79)",,
75,"(387, 454, 124, 88)","(390, 460, 122, 81)",,
76,"(378, 461, 131, 84)","(378, 467, 127, 83)",,
77,"(371, 464, 135, 83)","(370, 467, 131, 86)",,
78,"(364, 464, 136, 88)","(363, 466, 134, 89)",,
79,"(350, 467, 140, 85)","(348, 469, 138, 91)",,
80,"(343, 468, 145, 85)","(345, 470, 141, 89)",,
81,"(338, 468, 148, 86)","(337, 472, 144, 89)",,
82,"(325, 472, 153, 85)","(322, 475, 151, 88)",,
83,"(315, 475, 159, 86)","(315, 479, 155, 89)",,
84,"(307, 475, 162, 90)","(309, 479, 159, 91)",,
85,"(305, 477, 166, 91)","(303, 480, 163, 92)",,
86,"(291, 475, 168, 94)","(287, 480, 168, 94)",,
87,"(284, 475, 173, 96)","(280, 480, 172, 95)",,
88,"(278, 474, 177, 98)","(275, 479, 175, 96)",,
89,"(266, 462, 181, 94)","(263, 478, 178, 96)",,
90,"(257, 466, 183, 93)","(254, 478, 182, 97)",,
91,"(249, 468, 188, 94)","(251, 477, 187, 98)",,
92,"(243, 473, 189, 91)","(236, 483, 192, 99)",,
93,"(238, 478, 191, 89)","(232, 486, 196, 101)",,
94,"(231, 481, 198, 90)","(227, 490, 199, 103)",,
95,"(218, 480, 201, 92)","(218, 491, 202, 104)",,
96,"(216, 479, 204, 96)","(212, 491, 206, 106)",,
97,"(214, 479, 205, 99)","(211, 476, 207, 106)",,
98,"(195, 463, 207, 97)","(202, 483, 208, 107)",,
99,"(194, 467, 210, 94)","(197, 486, 212, 107)",,
