frame,Risk_1,Risk_2,Risk3,Risk4
24,"(612, 394, 64, 59)",,,
25,"(612, 394, 66, 58)",,,
26,"(612, 393, 67, 58)",,,
27,"(612, 393, 67, 59)",,,
28,"(609, 392, 68, 59)",,,
29,"(606, 390, 69, 59)",,,
30,"(604, 390, 69, 59)",,,
31,"(600, 389, 69, 59)",,,
32,"(598, 390, 69, 59)",,,
33,"(596, 391, 67, 59)",,,
34,"(595, 391, 66, 60)",,,
35,"(594, 391, 65, 60)","(649, 400, 53, 52)",,
36,"(595, 393, 64, 59)","(648, 399, 53, 53)",,
37,"(594, 394, 64, 59)","(648, 398, 52, 54)",,
38,"(594, 394, 63, 58)","(648, 398, 53, 54)",,
39,"(593, 395, 63, 57)","(649, 398, 52, 55)",,
40,"(593, 395, 63, 57)","(648, 398, 53, 55)",,
41,"(593, 396, 62, 57)","(648, 398, 52, 56)",,
42,"(594, 396, 62, 57)","(648, 398, 52, 56)",,
43,"(587, 396, 62, 56)","(648, 398, 53, 56)",,
44,"(587, 396, 62, 56)","(648, 399, 53, 57)",,
45,"(578, 396, 63, 56)","(649, 400, 53, 57)",,
46,"(570, 398, 64, 56)","(648, 401, 54, 57)",,
47,"(563, 399, 65, 56)","(647, 401, 54, 57)",,
48,"(562, 399, 67, 57)","(647, 401, 54, 57)",,
49,"(561, 396, 68, 58)","(648, 401, 55, 57)",,
50,"(560, 396, 69, 58)","(649, 401, 55, 57)",,
51,"(559, 396, 69, 58)","(649, 401, 55, 57)",,
52,"(557, 395, 70, 59)","(648, 401, 56, 57)",,
53,"(557, 395, 70, 59)","(647, 401, 56, 57)",,
54,"(557, 395, 70, 60)","(647, 401, 56, 57)",,
55,"(556, 394, 70, 60)","(647, 401, 56, 57)",,
56,"(557, 394, 70, 60)","(647, 401, 56, 57)",,
57,"(557, 395, 70, 61)","(647, 402, 57, 57)",,
58,"(558, 395, 70, 61)","(647, 402, 57, 57)",,
59,"(559, 396, 70, 61)","(647, 402, 57, 57)",,
60,"(559, 397, 70, 61)","(647, 403, 57, 57)",,
61,"(560, 397, 69, 61)","(647, 403, 57, 57)",,
62,"(562, 397, 67, 61)","(646, 403, 58, 57)",,
63,"(556, 397, 67, 61)","(646, 403, 58, 58)",,
64,"(557, 396, 68, 61)","(646, 403, 59, 57)",,
65,"(557, 395, 69, 61)","(644, 402, 60, 57)",,
66,"(557, 394, 70, 61)","(646, 402, 59, 57)",,
67,"(556, 395, 71, 61)","(645, 400, 59, 58)",,
68,"(554, 395, 72, 62)","(646, 401, 59, 58)",,
69,"(555, 395, 72, 62)","(644, 403, 59, 58)",,
70,"(549, 396, 72, 62)","(645, 402, 58, 58)",,
71,"(552, 398, 72, 61)","(644, 403, 59, 58)",,
72,"(553, 397, 71, 62)","(645, 405, 59, 57)",,
73,"(553, 396, 70, 62)","(643, 405, 59, 57)",,
74,"(552, 396, 70, 62)","(643, 403, 59, 58)",,
75,"(547, 396, 69, 62)","(641, 403, 59, 58)",,
76,"(550, 398, 69, 61)","(641, 402, 59, 58)",,
77,"(551, 397, 69, 61)","(641, 402, 59, 58)",,
78,"(554, 398, 66, 61)","(641, 402, 59, 58)",,
79,"(553, 402, 64, 60)","(639, 405, 59, 57)",,
80,"(554, 401, 63, 59)","(639, 403, 59, 57)",,
81,"(555, 402, 62, 59)","(639, 403, 59, 57)",,
82,"(556, 402, 60, 58)","(639, 402, 59, 58)",,
83,"(557, 402, 59, 59)","(638, 402, 59, 58)",,
84,"(554, 400, 59, 60)","(638, 403, 58, 58)",,
85,"(554, 399, 59, 61)","(638, 404, 58, 58)",,
86,"(552, 400, 60, 61)","(636, 405, 59, 58)",,
87,"(551, 402, 60, 61)","(637, 405, 58, 58)",,
88,"(552, 402, 60, 61)","(635, 404, 59, 58)",,
89,"(555, 404, 59, 59)","(635, 403, 58, 58)",,
90,"(555, 403, 58, 58)","(635, 404, 58, 57)",,
91,"(557, 403, 57, 58)","(635, 404, 58, 57)",,
92,"(555, 404, 56, 57)","(634, 404, 58, 57)",,
93,"(557, 403, 55, 57)","(634, 403, 58, 57)",,
94,"(556, 404, 55, 56)","(634, 403, 58, 57)",,
95,"(556, 404, 55, 56)","(634, 403, 58, 57)",,
96,"(555, 404, 55, 55)","(635, 403, 59, 57)",,
97,"(555, 404, 55, 55)","(634, 402, 59, 57)",,
98,"(554, 403, 55, 55)","(635, 402, 59, 57)",,
99,"(555, 404, 55, 54)","(634, 403, 59, 57)",,
