frame,Risk_1,Risk_2,Risk3,Risk4
38,"(468, 321, 31, 23)",,,
39,"(467, 320, 30, 23)",,,
40,"(466, 316, 31, 23)",,,
41,"(465, 318, 31, 22)",,,
42,"(462, 318, 33, 20)",,,
43,"(460, 320, 35, 19)",,,
44,"(458, 319, 36, 18)",,,
45,"(457, 320, 37, 17)",,,
46,"(455, 319, 38, 17)",,,
47,"(451, 318, 38, 17)",,,
48,"(449, 318, 39, 17)",,,
49,"(448, 317, 39, 17)",,,
50,"(442, 321, 39, 17)",,,
51,"(440, 324, 39, 17)",,,
52,"(438, 324, 40, 17)",,,
53,"(434, 326, 40, 17)",,,
54,"(433, 326, 40, 17)",,,
55,"(432, 323, 40, 18)",,,
56,"(431, 323, 40, 18)",,,
57,"(431, 323, 40, 18)",,,
58,"(429, 323, 40, 19)",,,
59,"(426, 323, 40, 19)",,,
60,"(424, 324, 40, 19)",,,
61,"(422, 323, 41, 19)",,,
62,"(420, 324, 42, 18)",,,
63,"(418, 326, 42, 18)",,,
64,"(416, 326, 43, 18)",,,
65,"(416, 329, 42, 18)",,,
66,"(419, 324, 42, 19)",,,
67,"(416, 327, 42, 19)",,,
68,"(416, 322, 42, 19)",,,
69,"(415, 321, 42, 20)",,,
70,"(412, 321, 42, 20)",,,
71,"(411, 317, 42, 21)",,,
72,"(382, 303, 39, 23)",,,
73,"(378, 303, 36, 25)",,,
74,"(371, 302, 34, 26)",,,
75,"(367, 303, 33, 26)",,,
76,"(367, 301, 32, 26)",,,
77,"(361, 305, 32, 27)",,,
78,"(355, 306, 31, 28)",,,
79,"(353, 307, 31, 28)",,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,"(415, 328, 61, 24)",,,
91,"(417, 327, 63, 24)",,,
92,"(417, 327, 65, 24)",,,
93,"(418, 326, 66, 24)",,,
94,"(421, 320, 66, 24)",,,
95,"(426, 318, 65, 25)",,,
96,"(428, 320, 64, 25)",,,
97,"(430, 319, 63, 26)",,,
98,"(430, 321, 64, 26)",,,
99,"(431, 323, 65, 26)",,,
